stage,group,home,away,home_goals,away_goals,result
Group,A,Mexico,South Africa,2,0,H
Group,A,South Korea,Czech Republic,2,1,H
Group,A,Czech Republic,South Africa,1,1,D
Group,A,Mexico,South Korea,1,0,H
Group,A,Czech Republic,Mexico,0,3,A
Group,A,South Africa,South Korea,1,0,H
Group,B,Canada,Bosnia & Herzegovina,1,1,D
Group,B,Qatar,Switzerland,1,1,D
Group,B,Switzerland,Bosnia & Herzegovina,4,1,H
Group,B,Canada,Qatar,6,0,H
Group,B,Switzerland,Canada,2,1,H
Group,B,Bosnia & Herzegovina,Qatar,3,1,H
Group,C,Brazil,Morocco,1,1,D
Group,C,Haiti,Scotland,0,1,A
Group,C,Scotland,Morocco,0,1,A
Group,C,Brazil,Haiti,3,0,H
Group,C,Scotland,Brazil,0,3,A
Group,C,Morocco,Haiti,4,2,H
Group,D,USA,Paraguay,4,1,H
Group,D,Australia,Turkey,2,0,H
Group,D,USA,Australia,2,0,H
Group,D,Turkey,Paraguay,0,1,A
Group,D,Turkey,USA,3,2,H
Group,D,Paraguay,Australia,0,0,D
Group,E,Germany,Curacao,7,1,H
Group,E,Ivory Coast,Ecuador,1,0,H
Group,E,Germany,Ivory Coast,2,1,H
Group,E,Ecuador,Curacao,0,0,D
Group,E,Curacao,Ivory Coast,0,2,A
Group,E,Ecuador,Germany,2,1,H
Group,F,Netherlands,Japan,2,2,D
Group,F,Sweden,Tunisia,5,1,H
Group,F,Netherlands,Sweden,5,1,H
Group,F,Tunisia,Japan,0,4,A
Group,F,Japan,Sweden,1,1,D
Group,F,Tunisia,Netherlands,1,3,A
Group,G,Belgium,Egypt,1,1,D
Group,G,Iran,New Zealand,2,2,D
Group,G,Belgium,Iran,0,0,D
Group,G,New Zealand,Egypt,1,3,A
Group,G,Egypt,Iran,1,1,D
Group,G,New Zealand,Belgium,1,5,A
Group,H,Spain,Cape Verde,0,0,D
Group,H,Saudi Arabia,Uruguay,1,1,D
Group,H,Spain,Saudi Arabia,4,0,H
Group,H,Uruguay,Cape Verde,2,2,D
Group,H,Cape Verde,Saudi Arabia,0,0,D
Group,H,Uruguay,Spain,0,1,A
Group,I,France,Senegal,3,1,H
Group,I,Iraq,Norway,1,4,A
Group,I,France,Iraq,3,0,H
Group,I,Norway,Senegal,3,2,H
Group,I,Norway,France,1,4,A
Group,I,Senegal,Iraq,5,0,H
Group,J,Argentina,Algeria,3,0,H
Group,J,Austria,Jordan,3,1,H
Group,J,Argentina,Austria,2,0,H
Group,J,Jordan,Algeria,1,2,A
Group,J,Algeria,Austria,3,3,D
Group,J,Jordan,Argentina,1,3,A
Group,K,Portugal,DR Congo,1,1,D
Group,K,Uzbekistan,Colombia,1,3,A
Group,K,Portugal,Uzbekistan,5,0,H
Group,K,Colombia,DR Congo,1,0,H
Group,K,Colombia,Portugal,0,0,D
Group,K,DR Congo,Uzbekistan,3,1,H
Group,L,England,Croatia,4,2,H
Group,L,Ghana,Panama,1,0,H
Group,L,England,Ghana,0,0,D
Group,L,Panama,Croatia,0,1,A
Group,L,Panama,England,0,2,A
Group,L,Croatia,Ghana,2,1,H
R32,,South Africa,Canada,0,1,A
R32,,Brazil,Japan,2,1,H
